model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error
small,forward,fp32,1,128,10000,768,3072,12,12,128.625408,33.78461479951511,10.936958621384697,0.661653995513916,ok,
small,forward_backward,fp32,1,128,10000,768,3072,12,12,128.625408,85.17337660014164,23.027350765101826,0.981992244720459,ok,
small,train_step,fp32,1,128,10000,768,3072,12,12,128.625408,97.648071799631,3.5651280171648105,2.4234862327575684,ok,
small,forward,bf16,1,128,10000,768,3072,12,12,128.625408,31.752075799158774,15.815877839877947,0.8584847450256348,ok,
small,forward_backward,bf16,1,128,10000,768,3072,12,12,128.625408,67.77674879995175,12.782575590038554,0.982968807220459,ok,
small,train_step,bf16,1,128,10000,768,3072,12,12,128.625408,121.45833760077949,16.151458593345293,2.4244627952575684,ok,
small,forward,fp32,1,256,10000,768,3072,12,12,128.625408,18.542446999344975,0.896181569760899,0.8550653457641602,ok,
small,forward_backward,fp32,1,256,10000,768,3072,12,12,128.625408,48.476012199535035,3.470094728740499,0.9855685234069824,ok,
small,train_step,fp32,1,256,10000,768,3072,12,12,128.625408,102.61461440022686,4.892105708308708,2.426448345184326,ok,
small,forward,bf16,1,256,10000,768,3072,12,12,128.625408,19.19827819947386,0.4626292269214894,0.9888925552368164,ok,
small,forward_backward,bf16,1,256,10000,768,3072,12,12,128.625408,64.00850200079731,12.081986651083403,1.0085077285766602,ok,
small,train_step,bf16,1,256,10000,768,3072,12,12,128.625408,112.09979260020191,4.20494559090979,2.432185649871826,ok,
small,forward,fp32,1,512,10000,768,3072,12,12,128.625408,27.19617280017701,6.759960005709164,1.3702144622802734,ok,
small,forward_backward,fp32,1,512,10000,768,3072,12,12,128.625408,87.4027275996923,10.432987387377038,1.3978042602539062,ok,
small,train_step,fp32,1,512,10000,768,3072,12,12,128.625408,126.01929699958418,4.322716168522317,2.478759288787842,ok,
small,forward,bf16,1,512,10000,768,3072,12,12,128.625408,23.708926000836072,1.5629026806605462,1.3562145233154297,ok,
small,forward_backward,bf16,1,512,10000,768,3072,12,12,128.625408,87.50511079997523,31.713292554791003,1.3663101196289062,ok,
small,train_step,bf16,1,512,10000,768,3072,12,12,128.625408,139.10173920012312,23.592143034857465,2.469359874725342,ok,
