model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error
tiny,forward,fp32,4,128,10000,128,512,2,4,3.084928,6.443649750508484,1.3727019769807296,0.07788610458374023,ok,
tiny,forward_backward,fp32,4,128,10000,128,512,2,4,3.084928,9.676490125912096,2.136257707449659,0.10535192489624023,ok,
tiny,train_step,fp32,4,128,10000,128,512,2,4,3.084928,11.253384624978935,3.015086558677776,0.12879419326782227,ok,
tiny,forward,bf16,4,128,10000,128,512,2,4,3.084928,6.695137250517291,0.6111285892800394,0.09200429916381836,ok,
tiny,forward_backward,bf16,4,128,10000,128,512,2,4,3.084928,12.501024875291478,2.66082877684614,0.10199880599975586,ok,
tiny,train_step,bf16,4,128,10000,128,512,2,4,3.084928,11.851163124902087,2.798353304271146,0.1254410743713379,ok,
tiny,forward,fp32,4,256,10000,128,512,2,4,3.084928,7.480524249785958,2.5672579717425235,0.15236616134643555,ok,
tiny,forward_backward,fp32,4,256,10000,128,512,2,4,3.084928,10.012349374846963,2.496583456067915,0.19142866134643555,ok,
tiny,train_step,fp32,4,256,10000,128,512,2,4,3.084928,12.215592124903196,1.3636566844386253,0.21441316604614258,ok,
tiny,forward,bf16,4,256,10000,128,512,2,4,3.084928,4.99348337552874,1.9376327925440795,0.15977048873901367,ok,
tiny,forward_backward,bf16,4,256,10000,128,512,2,4,3.084928,11.629721624103695,1.2023772043143013,0.17930173873901367,ok,
tiny,train_step,bf16,4,256,10000,128,512,2,4,3.084928,14.563335999355331,3.0526814261366115,0.20403718948364258,ok,
tiny,forward,fp32,4,512,10000,128,512,2,4,3.084928,7.013707374881051,0.3226838309707618,0.30477476119995117,ok,
tiny,forward_backward,fp32,4,512,10000,128,512,2,4,3.084928,13.994541499869229,1.094236725042435,0.38106870651245117,ok,
tiny,train_step,fp32,4,512,10000,128,512,2,4,3.084928,16.191855124816357,2.4789481813308294,0.4040532112121582,ok,
tiny,forward,bf16,4,512,10000,128,512,2,4,3.084928,8.772920250521565,2.514827315008511,0.3088374137878418,ok,
tiny,forward_backward,bf16,4,512,10000,128,512,2,4,3.084928,15.950378999150416,3.551544931210146,0.3460688591003418,ok,
tiny,train_step,bf16,4,512,10000,128,512,2,4,3.084928,17.535439249968476,5.799373265365221,0.36905336380004883,ok,
tiny,forward,fp32,4,1024,10000,128,512,2,4,3.084928,13.227502374320466,0.5452186918809524,0.7083773612976074,ok,
tiny,forward_backward,fp32,4,1024,10000,128,512,2,4,3.084928,40.5993393751487,0.6151209608746535,0.8609652519226074,ok,
tiny,train_step,fp32,4,1024,10000,128,512,2,4,3.084928,43.626394000966684,2.7369738157623216,0.8848118782043457,ok,
tiny,forward,bf16,4,1024,10000,128,512,2,4,3.084928,13.927289625371486,1.835445731208945,0.679633617401123,ok,
tiny,forward_backward,bf16,4,1024,10000,128,512,2,4,3.084928,37.17881687452973,1.0809454972593036,0.755927562713623,ok,
tiny,train_step,bf16,4,1024,10000,128,512,2,4,3.084928,38.707064999471186,2.9123200986641162,0.7797741889953613,ok,
