model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error
medium,forward,fp32,1,512,10000,1024,4096,24,16,423.18336,80.99667650094489,7.495434408738003,3.795699119567871,ok,
medium,forward_backward,fp32,1,512,10000,1024,4096,24,16,423.18336,251.72765999923286,1.2541641853014307,3.8661375045776367,ok,
medium,train_step,fp32,1,512,10000,1024,4096,24,16,423.18336,2587.2740519989748,163.47816917367658,7.907558917999268,ok,
medium,forward,bf16,1,512,10000,1024,4096,24,16,423.18336,105.39738599982229,1.1014913450463315,3.855391502380371,ok,
medium,forward_backward,bf16,1,512,10000,1024,4096,24,16,423.18336,178.86926500068512,9.184578871560928,3.8925046920776367,ok,
medium,train_step,bf16,1,512,10000,1024,4096,24,16,423.18336,1797.2397835001175,10.749794379851917,7.907558917999268,ok,
