seq_len,flash_triton_forward_speedup_vs_torch,torch_compile_forward_speedup_vs_torch,causal
128,3.525691988480884,1.7129112503826573,True
256,2.596514909029143,1.1237255532093913,True
512,2.1669038707917334,0.792145701934825,True
1024,3.303952429830367,1.3937851771069174,True
2048,5.809389578268997,2.228066696470629,True
4096,8.635363563545823,2.0909539789271636,True
