implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error,run_id,domain
torch,4,512,64,float32,True,0.2872580669645685,0.0615677827751351,0.8280028669105377,0.2327147971767562,0.026611328125,0.03466796875,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,512,64,float32,True,0.3626328669876481,0.070766073702306,0.7560103331343271,0.1998088758799927,0.022216796875,0.026611328125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,512,64,float32,True,0.132566133106593,0.0314270255833272,0.7198738002140695,0.0786679502413474,0.0183181762695312,0.0300445556640625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,512,128,float32,True,0.3593370665233427,0.0699308585441916,0.7984182671255743,0.2235347569789689,0.029052734375,0.03759765625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,512,128,float32,True,0.3682359327891997,0.06225510873155,0.7818738667992875,0.0696056707158358,0.024658203125,0.029541015625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,512,128,float32,True,0.159649533694998,0.0079293136614977,0.7010262668093977,0.0524600979632315,0.0207595825195312,0.0324859619140625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,1024,32,float32,True,0.6208059989148751,0.0578269351907448,1.5561391994803369,0.0330581244803599,0.051513671875,0.082275390625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,1024,32,float32,True,0.4605866667892163,0.0651150841510982,1.3245871329369645,0.237832268309936,0.033935546875,0.050048828125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,1024,32,float32,True,0.2039621996421677,0.0501738123258177,1.6293002666013006,0.2442681787305045,0.0183258056640625,0.065216064453125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,1024,64,float32,True,0.6261346667694548,0.1265277012291828,1.8597777998365927,0.2668995936886025,0.053955078125,0.085205078125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
