model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error,run_id,domain
small,forward_backward,bf16,1,256,10000,768,3072,12,12,128.625408,64.00850200079731,12.081986651083405,1.0085077285766602,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,train_step,bf16,1,256,10000,768,3072,12,12,128.625408,112.09979260020192,4.20494559090979,2.432185649871826,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,forward,fp32,1,512,10000,768,3072,12,12,128.625408,27.19617280017701,6.759960005709164,1.3702144622802734,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,forward_backward,fp32,1,512,10000,768,3072,12,12,128.625408,87.4027275996923,10.432987387377038,1.3978042602539062,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,train_step,fp32,1,512,10000,768,3072,12,12,128.625408,126.01929699958418,4.322716168522317,2.478759288787842,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,forward,bf16,1,512,10000,768,3072,12,12,128.625408,23.708926000836072,1.5629026806605462,1.3562145233154297,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,forward_backward,bf16,1,512,10000,768,3072,12,12,128.625408,87.50511079997523,31.713292554791003,1.3663101196289062,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,train_step,bf16,1,512,10000,768,3072,12,12,128.625408,139.10173920012312,23.592143034857465,2.469359874725342,ok,,transformer-step_small-b1_models-small_b1_ctx128-512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213606,transformer-step
small,forward,fp32,2,512,10000,768,3072,12,12,128.625408,58.58688474927476,4.006493848444961,2.1973876953125,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward_backward,fp32,2,512,10000,768,3072,12,12,128.625408,179.35080450024543,2.386123076433498,2.2449951171875,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,train_step,fp32,2,512,10000,768,3072,12,12,128.625408,217.46934300063003,7.760069285670429,3.219137191772461,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward,bf16,2,512,10000,768,3072,12,12,128.625408,31.472036500417744,0.9654830956064898,1.9479293823242188,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward_backward,bf16,2,512,10000,768,3072,12,12,128.625408,105.99708525114691,3.633028876798088,1.9679183959960935,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,train_step,bf16,2,512,10000,768,3072,12,12,128.625408,148.39437050068227,6.510524043441626,2.9480419158935547,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward,fp32,2,1024,10000,768,3072,12,12,128.625408,140.47102424956392,0.5544204244241641,5.066577911376953,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward_backward,fp32,2,1024,10000,768,3072,12,12,128.625408,480.3426314992976,13.767809095576538,5.194543838500977,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,train_step,fp32,2,1024,10000,768,3072,12,12,128.625408,517.6971864993902,5.811110203397729,6.156982421875,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward,bf16,2,1024,10000,768,3072,12,12,128.625408,102.03029275089648,0.3354256793365536,3.971324920654297,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,forward_backward,bf16,2,1024,10000,768,3072,12,12,128.625408,310.6659334998767,0.5885499801752264,4.143152236938477,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
small,train_step,bf16,2,1024,10000,768,3072,12,12,128.625408,366.9793909984946,4.024753457607022,5.1155853271484375,ok,,transformer-step_small-b2-main_models-small_b2_ctx512-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220520,transformer-step
tiny,forward,fp32,4,128,10000,128,512,2,4,3.084928,6.443649750508484,1.3727019769807296,0.0778861045837402,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,fp32,4,128,10000,128,512,2,4,3.084928,9.676490125912096,2.136257707449659,0.1053519248962402,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,fp32,4,128,10000,128,512,2,4,3.084928,11.253384624978937,3.015086558677776,0.1287941932678222,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,bf16,4,128,10000,128,512,2,4,3.084928,6.695137250517291,0.6111285892800394,0.0920042991638183,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,bf16,4,128,10000,128,512,2,4,3.084928,12.501024875291478,2.66082877684614,0.1019988059997558,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,bf16,4,128,10000,128,512,2,4,3.084928,11.851163124902088,2.798353304271146,0.1254410743713379,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,fp32,4,256,10000,128,512,2,4,3.084928,7.480524249785958,2.5672579717425235,0.1523661613464355,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,fp32,4,256,10000,128,512,2,4,3.084928,10.012349374846965,2.496583456067915,0.1914286613464355,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,fp32,4,256,10000,128,512,2,4,3.084928,12.215592124903196,1.3636566844386253,0.2144131660461425,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,bf16,4,256,10000,128,512,2,4,3.084928,4.99348337552874,1.9376327925440795,0.1597704887390136,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,bf16,4,256,10000,128,512,2,4,3.084928,11.629721624103697,1.2023772043143013,0.1793017387390136,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,bf16,4,256,10000,128,512,2,4,3.084928,14.563335999355331,3.0526814261366115,0.2040371894836425,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,fp32,4,512,10000,128,512,2,4,3.084928,7.013707374881051,0.3226838309707618,0.3047747611999511,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,fp32,4,512,10000,128,512,2,4,3.084928,13.994541499869229,1.094236725042435,0.3810687065124511,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,fp32,4,512,10000,128,512,2,4,3.084928,16.191855124816357,2.4789481813308294,0.4040532112121582,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,bf16,4,512,10000,128,512,2,4,3.084928,8.772920250521565,2.514827315008511,0.3088374137878418,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,bf16,4,512,10000,128,512,2,4,3.084928,15.950378999150416,3.551544931210146,0.3460688591003418,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,bf16,4,512,10000,128,512,2,4,3.084928,17.535439249968476,5.799373265365221,0.3690533638000488,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,fp32,4,1024,10000,128,512,2,4,3.084928,13.227502374320466,0.5452186918809524,0.7083773612976074,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,fp32,4,1024,10000,128,512,2,4,3.084928,40.5993393751487,0.6151209608746535,0.8609652519226074,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,fp32,4,1024,10000,128,512,2,4,3.084928,43.62639400096669,2.7369738157623216,0.8848118782043457,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward,bf16,4,1024,10000,128,512,2,4,3.084928,13.927289625371486,1.835445731208945,0.679633617401123,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,forward_backward,bf16,4,1024,10000,128,512,2,4,3.084928,37.17881687452973,1.0809454972593036,0.755927562713623,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
tiny,train_step,bf16,4,1024,10000,128,512,2,4,3.084928,38.70706499947119,2.912320098664116,0.7797741889953613,ok,,transformer-step_tiny-primary_models-tiny_b4_ctx128-1024_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-213538,transformer-step
