model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error
small,forward,fp32,1,2048,10000,768,3072,12,12,128.625408,320.9343920007086,23.79726394942908,7.384081840515137,ok,
small,forward_backward,fp32,1,2048,10000,768,3072,12,12,128.625408,1025.5438824997327,19.832729909186806,7.831750869750977,ok,
small,train_step,fp32,1,2048,10000,768,3072,12,12,128.625408,3885.211299499133,59.50543295292469,8.7916259765625,ok,
small,forward,bf16,1,2048,10000,768,3072,12,12,128.625408,167.7037997496882,0.4507181104981784,5.684337615966797,ok,
small,forward_backward,bf16,1,2048,10000,768,3072,12,12,128.625408,529.6854332500516,3.457901073396297,6.278894424438477,ok,
small,train_step,bf16,1,2048,10000,768,3072,12,12,128.625408,1320.7009379993906,12.679362714033402,7.243804931640625,ok,
